sentence,Is not valid,Annotations,Paper's Tags,Predicted Tags
وی به ماموریت های سازمان امور اجتماعی نیز پرداخت و گفت رصد و دیده بانی حوزه اجتماعی سیاست گذاری و برنامه ریزی هماهنگ سازی اقدامات و مداخلات اجتماعی از ماموریتهای اصلی سازمان امور اجتماعی در طول چندسال اخیر است,,B B B I I I I B B B B B I I I I I B I I I I B I I I I I B B I I I I B B I I B,B-NP O B-NP I-NP I-NP I-NP I-NP O O O O B-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
ساخت این تکیه در سال 1309 توسط عبداله خان فراش باشی ملقب به بیگلربیگی از مقامات مشهور و منت کرمانشاه در دوره قاجاریه شروع و عملیات ساختمانی ان در سال 1315 به اتمام رسید,,B I I B B I B B I I I I I I B B I I I I B B I B B B I I B B I B I I,B-NP I-NP I-NP O B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP O O B-NP I-NP I-NP O B-NP I-NP O O O,B I I I I I I B B I I I I I I I I I I I I I I I I I I I I I B I I I
با دستور قضایی ابتدا از ورود افراد غریبه به صحنه قتل جلوگیری می شود,,B B I B B B I I I I I B I I,O B-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP O O O,B I I I I I I I I I I I I I
محبی افزود عبور و مرور وسایل نقلیه از محور امام رضا و بزرگراه حرم به حرم نیست سنگین و پر حجم گزارش شده و خودروها به مرور در حال عبور از این محورها کشور هستند,1,,B-NP O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O B-NP I-NP I-NP I-NP O O O O O O O O B-NP O O O O B-NP I-NP I-NP I-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I
ريیس قوه قضاییه مبارزه با قاچاق کالا به ویژه قاچاق سازمان یافته را از مطالبات مهم مقام معظم رهبری و از محوری ترین ماموریت های همه دستگاه ها عنوان کرد و گفت برخورد با پدیده قاچاق که افت و خنجری بر پیکر نظام تولید است باید با جدیت سرعت و دقت پیگیری شود,,B I I B I I I B I B I I B B B I I I I B B B I I I I I I B I B B B I I I B B I I I I I I B B B B B B B B I,B-NP I-NP I-NP B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O B-NP B-NP O B-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
بنابراین ما معتقدیم برای تمام طرفین مهم خواهد بود که خطوط ارتباطی خود را حفظ کنند تا از تفسیر اشتباه و محاسبات اشتباه جلوگیری کنند,,B B B B B I B I I B B I I B B I B B B I B B I B I,O B-NP O O B-NP I-NP O O O O B-NP I-NP I-NP O O O O O B-NP I-NP O B-NP I-NP O O,B I B I I I I I I I I I I I I I I I I I I I I I I
راستی چه چیزی بود که جوان های ما را از عشرت ها به جنگ کشاند,,B B I B B B I I B B B I B B B,O B-NP I-NP O O B-NP I-NP I-NP O O B-NP I-NP O B-NP O,B I I I I I I I I I I I I I I
ir اطلاعات هویتی خود را تکمیل و نسبت به خرید واحدهای سرمایه گذاری این صندوق اقدام کنند,1,,I-NP B-NP I-NP I-NP O O O O O B-NP I-NP I-NP I-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I
حمله کردن و تاختن به او بعد از یک شکست حتی با عملکرد بد منصفانه نیست او از کسانی است که اینده فوتبال ایران به شمار می روند این شکست را می شود فراموش کرد و فوتبال فرصت جبران می دهد اما حرف ها و بهانه جویی ها را نه,,B I I I I I B B B I B B B I B I B B B B B B I I B I I I B I B B I B I B B B I B I B B I B B I I B B,B-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O O B-NP I-NP O O B-NP O B-NP O O B-NP I-NP I-NP O O O O B-NP I-NP O O O O O O B-NP B-NP I-NP O O O B-NP I-NP O B-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
بررسی ها نشان می داد از او اموالی سرقت نشده بود,,B I B I I B B B B I I,B-NP I-NP O O O O B-NP B-NP O O O,B I B I I I B I I I I
فرمانده پلیس راه ویژه شرق استان تهران تاکید کرد هموطنان به هیچ عنوان سفرهای غیر ضروری نداشته باشند زیرا وضعیت کرونا در استان های شمالی قرمز بوده و سفرهای تفریحی به هیچ عنوان توصیه نمی شود,,B I I I I I I B I B B I I B I I B I B B I B B I I B I B B I B I I B I I,B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP O O O B-NP I-NP I-NP O O O B-NP I-NP O B-NP I-NP I-NP O O O B-NP I-NP O O O O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
مطلب زیر در پاسخ به روزنامه جمهوری اسلامی و اعتراض به نمایش ان در سیما نگاشته شده است امید وارم دوستانی که خواستار پاسخ گويی به شبهات بودند با خواندن این نامه پاسخ خود را بگیرند البته بزودی کتابی را انتشارات توفیق افرین در مورد اخراجی ها و ده فیلم سینمایی جنگی منتشر خواهد ساخت که با یک دی وی دی ضمیمه وارد بازار می شود,,B I B B I I I I I I I I I I I B I I B B I I I I I I I B B I I B I B B B B B B B I I B I B I B B I I I B I I B B B I I I I B B B I,B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-NP I-NP O O O O B-NP O B-NP I-NP I-NP O O B-NP I-NP O B-NP I-NP I-NP I-NP O O O O O B-NP I-NP I-NP I-NP I-NP O B-NP O O,B I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
فرمانده وقت پلیس کشور در مصاحبه این احتمال را رد کرد و گفت این پزشک هیچ ربطی به موضوعات سیاسی ندارد,,B I I I B B B I B B I B B B I B I I I I B,B-NP I-NP I-NP I-NP O B-NP B-NP I-NP O O O O O B-NP I-NP B-NP I-NP I-NP I-NP I-NP O,B I I I I I I I I I I I I I I I I I I I I
بورس امریکا وال استریت همه شاخص ها ریزشی بودند تا جایی که هر سه شاخص اصلی بورسی در سطح پایین تری از روز قبل خود بسته شدند,,B I I I B I I B I B I I B I I I I B B I I B B I I B I,B-NP I-NP I-NP I-NP B-NP I-NP I-NP O O O O O B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O B-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I B I I
«عواد العواد» ريیس سازمان حقوق بشر عربستان با اعلام این خبر گفت دستور دادستان کل گام مهمی در راستای اصلاح سیستم قضایی و تقویت حقوق بشر در عربستان به شمار می رود,,B I B I I I I B B I I B B I I B I B B I I I I I I I B B B I I I,B-NP I-NP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O B-NP I-NP I-NP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP O O O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I
ملاک ارزش گذاری سلیقه شخصی شما نیست,,B I I B I I B,B-NP I-NP I-NP B-NP I-NP I-NP O,B I I I I I I
15 بهمن ماه سال 96 بود که حجت اله صیدی به عنوان مدیرعامل بانک صادرات منصوب شد,,B I I I I B B B I I B I B I I B I,B-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O O B-NP I-NP I-NP O O,B I I I B I I I I I I I I I I I I
در نتیجه برای کاهش انتشار ویروس و همچنین کم شدن امار ابتلای پرسنل بانک ها باید به سمت بانکداری الکترونیک حرکت کنند,,B I B B I I B B B I I I I I I B B B I I B I,O O O B-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP O O,B I I I I I I I I I I I I I I I I I I I I I
یقینا این بحران عالم گیر وخ سوز بدون رعایت همه اصول ضروری بهداشتی وح و نظارت جدی ومو عوامل اجرایی بر اجرای این ضوابط به سامان نمی رسد,,B B I I I I I B B I I I I I B B I I I I I I I I B B B I,O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP O O,B I I I I I I I I I I I I I I I I I I I I I I I I I I I
این عضو کمیسیون اموزش در پاسخ به سوالی مبنی بر این که در حال حاضر سهام دار بخش عمده ای از اپراتورهای شبکه های همراه کشور نظامی ها هستند چگونه می شود اینترنت در دست دولت باشد عنوان کرد بحث اپراتورها و زیرساخت جدا است پولی که امروز به دست تلگرام داده شده و این همه هزینه شد امدنیوز را اداره کرد این ها که همه دست دولت بوده است,,B I I I B B I I B I I I B I I B I I I I I I I I I I B I B B B I B B B I B B I B I I I B I B I I I I I I I B B I I B B B B I B I I I I I I I,B-NP I-NP I-NP I-NP O B-NP I-NP I-NP O O O O O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP O O O O B-NP O B-NP I-NP O O O B-NP I-NP I-NP I-NP O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O B-NP O O O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP,B I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I B I I I I I I I I I I I I I I I I I
""" گزارش ایسنا به نقل از بلومبرگ ممکن است پس از مدتها کش و قوس سرانجام بسته محرک جدید در امریکا نهایی و اجرایی شود",,B B I B B B B B I B I B I I I B B I I B B B I I I,O B-NP I-NP O B-NP O B-NP O O O O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP O B-NP O O O O,B I I I B I I I I I I I I I I I I I I I I I I I I
